NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;VERKEERSKUNDIGWEGVAKVILD;TRAJECTVILD;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
3925410;2024-01-29;2024-01-29;17:49:30;17:51:00;3,300;2200,000;1,500;21,7;19,5;A;10;A10;oplopend;De Nieuwe Meer - Amsterdam-Slotervaart;Knooppunt De Nieuwe Meer - Knooppunt Coenplein;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925411;2024-01-29;2024-01-29;17:49:30;17:55:01;12,892;2337,000;5,517;56,2;58,3;A;12;A12;aflopend;Oudenrijn - De Meern;Utrecht - Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925412;2024-01-29;2024-01-29;17:49:30;18:03:00;52,452;3885,000;13,500;11,9;14,0;A;58;A58;aflopend;Batadorp/Randweg N2 - Batadorp;Tilburg - Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 14];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925558;2024-01-30;2024-01-30;6:41:25;6:43:00;3,642;2300,000;1,583;32,3;34,6;A;20;A20;aflopend;Terbregseplein - Rotterdam-Crooswijk;Gouda - Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925559;2024-01-30;2024-01-30;6:41:25;7:03:00;77,623;3596,000;21,583;30,4;27,0;A;27;A27;oplopend;Nieuwendijk - Werkendam;Breda - Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 22];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925560;2024-01-30;2024-01-30;6:41:25;6:44:00;7,652;2962,000;2,583;90,4;93,4;A;59;A59;aflopend;Terheijden - Zonzeel;'s-Hertogenbosch - Knooppunt Zonzeel;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925561;2024-01-30;2024-01-30;6:42:24;9:08:00;697,703;4792,000;145,600;14,1;17,4;A;16;A16;aflopend;Rotterdam-Prins Alexander - Terbregseplein;Breda - Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 146];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925562;2024-01-30;2024-01-30;6:42:24;6:53:00;31,360;2958,000;10,600;181,1;183,7;A;2;A2;aflopend;Maarheeze - Leende;Maastricht - Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 11];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925653;2024-01-30;2024-01-30;7:15:28;7:21:00;12,167;2199,000;5,533;0,0;2,2;N;11;N11;aflopend;Zoeterwoude-Weipoort/Rijndijk - A4: Zoeterwoude-Rijndijk;Bodegraven - Leiden;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925654;2024-01-30;2024-01-30;7:15:28;7:42:00;90,702;3418,000;26,533;249,6;247,5;N;50;N50;oplopend;Kampen-Zuid - Kampen;Zwolle - Emmeloord;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 27];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
